Id,Name,Status,Sector,Type,Phase,Specialization,ExamNo,Province,District_Municipality,Local_Municipality,Postal_Code
918510576,Matokane,Operational,Public,Ordinary School,Secondary School,Comprehensive,7082206,Lp,Dc33,Np333,
919340456,Botlokwa,Operational,Public,Ordinary School,Primary School,Ordinary,Nan,Lp,Dc35,Np353,
920211237,Mphengwa,Operational,Public,Ordinary School,Secondary School,Ordinary,7043106,Lp,Dc35,Np351,
922220293,John Nrimba,Operational,Public,Ordinary School,Primary School,Ordinary,Nan,Lp,Dc35,Np352,
100000037,Eagle S Nest Ministries Sa,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7570
100000038,Silvermine Academy,Operational,Independent,Ordinary School,Secondary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7975
100000054,Academy Private School,Operational,Independent,Ordinary School,Combined School,Ordinary School,1004494,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7580
100000055,Claremont High School,Operational,Public,Ordinary School,Secondary School,Maths Science And Technology,1001203,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7708
100000056,Westlake Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7945
100000065,Reddam House Atlantic Seaboard,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,8005
100000070,Ies International Heldeberg School Pty Ltd,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7130
100000078,Disa Primary School Hout Bay,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7806
100000091,Cederberg Academy,Operational,Public,Ordinary School,Secondary School,Ordinary School,1005596,Wc,West Coast,Cederberg Local Municipality,7340
100000103,Lycee Francais Du Cap Francois Le Vaillant,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,8001
100000108,Northpine Technical High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1004497,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7560
100000109,Delft Technical High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1005432,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7100
100000110,Melkbos High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1002273,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000122,Fisantekraal High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1002291,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7550
100000123,Beaufort West Prim Re Skool,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,Central Karoo,Beaufort West Local Municipality,6970
100000124,Louwville Ho Rskool,Operational,Public,Ordinary School,Secondary School,Ordinary School,1005532,Wc,West Coast,Saldanha Bay Local Municipality,7380
100000126,Gateway Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7102
100000127,Rouxville Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7580
100000128,Hope And Light Community Welfare Npc Trading As,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7130
100000129,Silikamva High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1009919,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7806
100000143,Pringle House,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Overberg,Overstrand Local Municipality,7196
100000151,Al Azhar High School,Operational,Independent,Ordinary School,Secondary School,Ordinary School,1001158,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7764
100000152,Hyde Park College,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7785
100000153,Mount View Education Centre,Operational,Independent,Ordinary School,Combined School,Ordinary School,1007779,Wc,Cape Winelands,Stellenbosch Local Municipality,7600
100000211,Crescent Primary School Npc,Operational,Independent,Ordinary School,Intermediate School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7945
100000217,Christmas Tinto Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7140
100000220,Curro Hermanus,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Overberg,Overstrand Local Municipality,7200
100000231,Albert College,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Central Karoo,Prince Albert Local Municipality,6930
100000029,Gaia Waldorf School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7405
100000030,Darun Na Im Academy,Operational,Independent,Ordinary School,Combined School,Ordinary School,1009984,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7800
100000031,Atlantic Beach College,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000036,Knysna Christian Mission School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Knysna Local Municipality,6570
100000232,Christelike Privaatskool Leipoldtville,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,West Coast,Cederberg Local Municipality,8122
100000235,Sunningdale Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000250,Destinatus Privaatskool,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7560
100000260,Carnegie House Preparatory,Operational,Independent,Ordinary School,Intermediate School,Ordinary School,0,Wc,West Coast,Swartland Local Municipality,7300
100000262,Longacres Privaatskool,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,West Coast,Saldanha Bay Local Municipality,7357
100000265,Brandvlei Youth Centre,Operational,Independent,Ordinary School,Secondary School,Ordinary School,1008807,Wc,Cape Winelands,Breede Valley Local Municipality,6849
100000266,Concordia High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1003421,Wc,Eden,Knysna Local Municipality,6571
100000267,Concordia Prim Re Skool,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Knysna Local Municipality,6571
100000268,A Z Berman High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1009987,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7785
100000271,Capella House,Operational,Independent,Ordinary School,Primary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7975
100000272,Soneike High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1004406,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7579
100000286,Key To Education Trading As Focus College,Operational,Independent,Ordinary School,Combined School,Ordinary School,1009986,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7800
100000287,Blue Moon Montessori School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7945
100000288,Umyezo Wama Apile High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1008914,Wc,Overberg,Theewaterskloof Local Municipality,7160
100000292,Abeile Ruche School Century City,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000299,Stonefountain College Bellville,Operational,Independent,Ordinary School,Secondary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7530
100000305,Meridian Pinehurst Private School,Operational,Independent,Ordinary School,Combined School,Ordinary School,1002263,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7550
100000306,Imhoff Waldorf Primary School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7975
100000307,Carnegie House Preparatory Paarl,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Cape Winelands,Drakenstein Local Municipality,7646
100000311,Curro Century City Private School,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000312,Pomario Private School,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,West Coast,Cederberg Local Municipality,7340
100000313,Rundle College,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Eden,George Local Municipality,6530
100000315,Gulderen Sultan Cape Girls High School,Operational,Independent,Ordinary School,Combined School,Ordinary School,1001209,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7915
100000318,Jubilee Montessori Academy,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Oudtshoorn Local Municipality,6625
100000319,Young Ambassadors Primary School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,George Local Municipality,6529
100000320,Stonefountain College Kenilworth,Operational,Independent,Ordinary School,Secondary School,Ordinary School,1001205,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7708
100000321,Reddam House Durbanville,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7550
100000322,School Of Business And Commerce,Operational,Independent,Ordinary School,Secondary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7430
100000327,Nomzamo Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7140
100000328,Nomzamo High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1007742,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7140
100000329,Heatherlands High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,0,Wc,Eden,George Local Municipality,6529
100000337,The Sinai Academy,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000355,Protea Heights Academy,Operational,Public,Ordinary School,Secondary School,Ordinary School,1004492,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7560
100000361,Crosspoint Academy Strand,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7139
100000364,Grace Primary School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7405
100000400,Principia Independent School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Oudtshoorn Local Municipality,6620
100000401,El Marine Primary School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7140
100000405,Kingsley Private School,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Eden,George Local Municipality,6530
100000406,Bosasa Clanwilliam Youth Development Centre,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,West Coast,Cederberg Local Municipality,8135
100000407,Cape Town Torah High School,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,8001
100000411,Big Bay Academy,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000414,The Leadership College Observatory,Operational,Independent,Ordinary School,Secondary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7925
100000420,Van Wyksvlei Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,Cape Winelands,Drakenstein Local Municipality,7655
100000427,Jeq Preparatory School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7800
100000428,Vision Afrika,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Cape Winelands,Stellenbosch Local Municipality,7600
100000429,Rising Stars Academy,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000431,Highbury Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7580
100000432,Forest Village Leadership Academy,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7100
100000433,Happy Valley Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7579
100000434,Star College Bridgetown,Operational,Independent,Ordinary School,Combined School,Ordinary School,1001130,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7764
100000435,Al Hidaayah College,Operational,Independent,Ordinary School,Intermediate School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7570
100000437,Vrt Pitt Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,Overberg,Swellendam Local Municipality,6740
100000439,Curro Brackenfell,Operational,Independent,Ordinary School,Intermediate School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,
100000445,Parliament Street Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7100
100000446,The Rock Academy,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7975
100000454,Kwanokuthula Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Bitou Local Municipality,6600
100000457,Montessori Connect The Children S Works,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7735
100000459,Fynbos Academy,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Overberg,Overstrand Local Municipality,7210
100000460,Hoopland Academy,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Overberg,Overstrand Local Municipality,7210
100000461,Kingsway College,Operational,Independent,Ordinary School,Secondary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,8001
100000467,Ithemba Labantu Primary School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7781
100000471,Hexrivier Opvoedkundige Sentrum,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Cape Winelands,Breede Valley Local Municipality,6855
100000472,Blouvlei Academy,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Cape Winelands,Drakenstein Local Municipality,7654
100000478,Junior Campus Private School,Operational,Independent,Ordinary School,Intermediate School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7580
100000544,Reddam House Somerset Lakes,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7129
100000545,Silverleaf Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000546,Heritage House Independent School,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Cape Winelands,Drakenstein Local Municipality,7646
100000547,Generation School,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7708
100000548,Altena Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7130
100000559,Generation Schools Houtbay,Operational,Independent,Ordinary School,Secondary School,Ordinary School,1009982,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7806
100000562,Bizweni Primary School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7130
100000563,Renaissance Private School,Operational,Independent,Ordinary School,Combined School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7100
100000570,Mckinlay Reid International Academy,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Eden,George Local Municipality,6530
100000573,Love Walk Christian Academy Primary,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Mossel Bay Local Municipality,6500
100000574,Curro Sitari,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7129
100000575,Raphaeli Waldorf School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Bitou Local Municipality,6600
100000577,Jakes Gerwel Technical School,Operational,Public,Ordinary School,Secondary School,Nan,0,Wc,Cape Winelands,Langeberg Local Municipality,6730
100000578,Trinity Children S Centre,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7785
100000579,Bahia Formosa School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Bitou Local Municipality,6600
100000580,Lighthouse Academy,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Eden,Mossel Bay Local Municipality,6500
100000581,Daniel Academy,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7140
100000582,Protea Ho Rskool,Operational,Public,Ordinary School,Secondary School,Nan,0,Wc,Eden,Oudtshoorn Local Municipality,6620
100000583,Montgomery And Miller Academy,Operational,Independent,Ordinary School,Combined School,Nan,1007751,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7130
100000584,La Vigne Educational House,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7650
100000585,Zwelethemba High School,Operational,Public,Ordinary School,Secondary School,Nan,1008920,Wc,Cape Winelands,Breede Valley Local Municipality,6850
100000586,Somerset High School,Operational,Public,Ordinary School,Secondary School,Nan,0,Wc,Cape Winelands,Breede Valley Local Municipality,6850
100000587,Lingomso Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,Cape Winelands,Witzenberg Local Municipality,6820
100000593,Ekukhanyiselweni Christian School,Operational,Independent,Ordinary School,Intermediate School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7140
100000594,Mountain View Academy Monte Vista,Operational,Independent,Ordinary School,Secondary School,Ordinary School,1002275,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7460
100000598,The Sustainability Institute Trust Operating As Sp,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Cape Winelands,Stellenbosch Local Municipality,7600
100000599,Middelpos Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,West Coast,Saldanha Bay Local Municipality,7380
100000601,Ubuntu Football Academy,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7975
100000602,Solomon Mahlangu Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7570
100000605,Chameleon Junior School,Operational,Independent,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7700
100000607,Ithemba Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7945
100000608,Curro Uitzicht Independent School,Operational,Independent,Ordinary School,Combined School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7530
100000609,Apex High School,Operational,Public,Ordinary School,Secondary School,Nan,1004489,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7100
100000611,Petra High School,Operational,Independent,Ordinary School,Secondary School,Unknown,99,Wc,Cape Winelands,Stellenbosch,7600
100000613,Inkanini Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7783
100000614,False Bay Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7134
100000615,Afrikaanse Privaatskool Pty Ltd Bellville,Operational,Independent,Ordinary School,Secondary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7530
100000616,School Of Business And Commerce Pty Ltd,Operational,Independent,Ordinary School,Secondary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7530
100000617,Calling Education Npc Trading As Calling Academy,Operational,Independent,Ordinary School,Secondary School,Nan,0,Wc,Cape Winelands,Stellenbosch Local Municipality,7600
100000618,Essenhout Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7102
100000620,The Kusasa Project,Operational,Independent,Ordinary School,Primary School,Nan,0,Wc,Cape Winelands,Stellenbosch Local Municipality,7690
100000621,Perserverance Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7785
100000622,Balco College,Operational,Independent,Ordinary School,Secondary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7560
100000623,Splendid Kids,Operational,Independent,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7500
100000624,The Academy Hout Bay,Operational,Independent,Ordinary School,Secondary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7806
100000625,Vredekloof Primary,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7560
100000626,Kraaifontein High School,Operational,Public,Ordinary School,Secondary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7570
100000631,Slimkoppies Privaatskool,Operational,Independent,Ordinary School,Intermediate School,Nan,0,Wc,West Coast,Bergrivier Local Municipality,7365
100000632,Study House,Operational,Independent,Ordinary School,Combined School,Unknown,99,Wc,Garden Route,George,6530
100000634,Oakland Academy,Operational,Independent,Ordinary School,Combined School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000635,Growing Minds Learning And Therapy Centre,Operational,Independent,Ordinary School,Primary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,8001
100000636,Future S Academy,Operational,Independent,Ordinary School,Combined School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7780
100000637,Bright Student Learning Centre Fish Hoek,Operational,Independent,Ordinary School,Primary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7975
100000638,Emithini Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7570
100000639,Kweekvallei Kollege,Operational,Independent,Ordinary School,Combined School,Nan,0,Wc,Central Karoo,Prince Albert Local Municipality,6930
100000640,Clever Kids Learning Hub,Operational,Independent,Ordinary School,Intermediate School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7550
100000641,Kids Kingdom Pre And Primary School,Operational,Independent,Ordinary School,Primary School,Unknown,99,Wc,Garden Route,Mossel Bay,6500
100000642,Vuurvliegie Akademie,Operational,Independent,Ordinary School,Primary School,Nan,0,Wc,Central Karoo,Beaufort West Local Municipality,6970
100000643,Lakeside Education Academy,Operational,Independent,Ordinary School,Combined School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7945
100000644,Pinelands Montessori,Operational,Independent,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7405
100000645,Generation School Melkbos,Operational,Independent,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000646,2 Oceans Education Operations Company Rf Npc,Operational,Independent,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7785
100000647,Oakdale Montessori School,Operational,Independent,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7530
100000648,Jonga Street Secondary School,Operational,Public,Ordinary School,Secondary School,Nan,0,Wc,Eden,George Local Municipality,6530
100000649,Jupiter Street Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7975
100000650,Molo Mhlaba Primary School,Operational,Independent,Ordinary School,Combined School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7784
100000651,Curro Academy Sandown,Operational,Independent,Ordinary School,Combined School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000652,Fairdale Primary School,Operational,Public,Ordinary School,Primary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7100
100000653,Fairdale High School,Operational,Public,Ordinary School,Secondary School,Unknown,99,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7100
100000654,Sandaalhout Primary School,Operational,Public,Ordinary School,Primary School,Nan,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7102
