Id,Name,Status,Sector,Type,Phase,Specialization,ExamNo,Province,District_Municipality,Local_Municipality,Postal_Code
800020917,Sifikile Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800020925,Sifundakhona Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800020933,Sifundise Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Emalahleni Local Municipality,
800020941,Sifunindlela Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800020958,Sigweje Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800020966,Sihlangene Primary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800020982,Sihlangu Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800021006,Sihlengiwe Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6353608,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021014,Sihlezi Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021022,Sijabule Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021030,Sijabulile Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800021048,Sikhulile Secondary School,Operational,Public,Ordinary School,Secondary School,Full Service,6305001,Mp,Nkangala District Municipality,Emakhazeni Local Municipality,
800021055,Sikhulisiwe Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021071,Sikhwahlane Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,A6262806,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800021097,Silamba Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6353803,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021105,Siligane Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6241906,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800021113,Silindile Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021139,Silindzile Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021162,Simtfolile Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,6110501,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021196,Simuyembiwa Primary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021204,Sincobile Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800021212,Sindawonye Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021220,Sindzawonye Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,21220,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800021238,Sinethemba Secondary School,Operational,Public,Ordinary School,Secondary School,Technical,Nan,Mp,Gert Sibande District Municipality,Mkhondo Local Municipality,
800021246,Sinetjhudu Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021253,Sinqobile Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800021261,Siphendulwe Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Emalahleni Local Municipality,
800021279,Siphiwe Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021287,Siphumelele School,Operational,Public,Ordinary School,Combined School,Full Service,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021295,Siphumelele Combined School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021303,Siphumule Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021329,Sisini Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800021345,Sisukumile Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021352,Sitfokotile Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6283205,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800021360,Sithabile Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,301610,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021378,Sithembiso Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021386,Sithenjisiwe Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6374303,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021394,Sithobelane Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021402,Sithuthukile Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021410,Sitintile Secondary School,Operational,Public,Ordinary School,Secondary School,Mathematics Science,6283008,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800021436,Sivumelene Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6333511,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021451,Siyabonga Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6110306,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021477,Siyabuswa Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021485,Siyacathula Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Gert Sibande District Municipality,Msukaligwa Local Municipality,
800021493,Siyafundza Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800021519,Siyakhula Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800021543,Siyancoba Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800021550,Siyaphambili Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,800021550,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021584,Siyathokoza Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6333405,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021600,Siyazi Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Msukaligwa Local Municipality,
800021618,Siyeta Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021626,Siyeza Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Mkhondo Local Municipality,
800021642,Sizabantwana Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021659,Sizakele Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021667,Sizakhele Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Gert Sibande District Municipality,Lekwa Local Municipality,
800021675,Sizamakwethu Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021691,Sizani Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Nkangala District Municipality,Elias Motsoaledi Local Municipality,
800021709,Sizenzele Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Dr Pixley Ka Isaka Seme Local Municipality,
800021741,Sizimisele Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800021758,Sizisizwe Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021766,Sizo Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Thaba Chweu Local Municipality,
800021774,Sizofunda Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Victor Khanye Local Municipality,
800021790,Sizuzile Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Nkangala District Municipality,Victor Khanye Local Municipality,
800021808,Sizwakele Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6609053,Mp,Gert Sibande District Municipality,Govan Mbeki Local Municipality,
800021816,Sizweni Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021873,Skoonuitsig Primary School,Operational,Public,Ordinary School,Combined School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Lekwa Local Municipality,
800021899,Sobantu Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6333410,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800021907,Sobhuza Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021923,Sofunda Secondary School,Operational,Public,Ordinary School,Secondary School,Mathematics Science,6304701,Mp,Nkangala District Municipality,Steve Tshwete Local Municipality,
800021931,Sogasa Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800021949,Sohlazane Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800021964,Sokapho Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800021980,Soko Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800022012,Somabedlana Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800022020,Somarobogo Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800022038,Somcuba Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800022053,Somkhahlekwa Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6333411,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800022061,Somlingo Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800022079,Somlokothwa Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800022087,Somsuswa Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6354005,Mp,Nkangala District Municipality,Thembisile Local Municipality,
